"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"skype#Internet";"1";"2";"2";"Skype";"R";"skype#2"
"sauna#Facilities";"1";"2";"2";"sauna";"N";"sauna#2"
"dogs#Facilities";"1";"2";"2";"dog";"N";"dogs#2"
"lift#Facilities";"1";"2";"2";"lift";"N";"lift#2"
"doors#Interior/exterior";"1";"2";"2";"door";"V";"doors#2"
"brandy#Restaurant";"1";"1";"1";"brandy";"N";"brandy#1"
"toilets#Bathroom";"1";"1";"1";"toilet";"N";"toilets#1"
"pubs#Location";"1";"1";"1";"pub";"N";"pubs#1"
"conncetion#Internet";"1";"1";"1";"conncetion";"N";"conncetion#1"
"heaters#Facilities";"1";"1";"1";"heater";"N";"heaters#1"
"fitnes#Facilities";"1";"1";"1";"fitnes";"N";"fitnes#1"
"acommodation#unknown";"1";"1";"1";"acommodation";"N";"acommodation#1"
"toaster#Facilities";"1";"1";"1";"toaster";"N";"toaster#1"
"mice#unknown";"1";"1";"1";"mouse";"N";"mice#1"
"appartement#unknown";"1";"1";"1";"appartement";"N";"appartement#1"
"тhis#unknown";"1";"1";"1";"тhis";"D";"тhis#1"
"elegance#unknown";"1";"1";"1";"elegance";"N";"elegance#1"
"cleaness#Cleanliness";"1";"1";"1";"cleaness";"N";"cleaness#1"
"phones#unknown";"1";"1";"1";"phone";"N";"phones#1"
"sentido#unknown";"1";"1";"1";"Sentido";"R";"sentido#1"
"foyer#Interior/exterior";"1";"1";"1";"foyer";"N";"foyer#1"
"products#Restaurant";"1";"1";"1";"product";"N";"products#1"
"decoration#Interior/exterior";"1";"1";"1";"decoration";"N";"decoration#1"
"vodka#Restaurant";"1";"1";"1";"Vodka";"R";"vodka#1"
"robe#Facilities";"1";"1";"1";"robe";"N";"robe#1"
"microwave#Facilities";"1";"1";"1";"microwave";"N";"microwave#1"
"cocktails#Facilities";"1";"1";"1";"cocktail";"N";"cocktails#1"
"ever.staff#Staff";"1";"1";"1";"ever.staff";"N";"ever.staff#1"
"colors#Rooms";"1";"1";"1";"color";"N";"colors#1"
"matress#Beds";"1";"1";"1";"Matress";"R";"matress#1"
"firdge#Facilities";"1";"1";"1";"firdge";"N";"firdge#1"
"winows#Rooms";"1";"1";"1";"winows";"N";"winows#1"
"room.staff#Staff";"1";"1";"1";"room.staff";"N";"room.staff#1"
"pub#Facilities";"1";"1";"1";"pub";"N";"pub#1"
"stares#unknown";"1";"1";"1";"stare";"N";"stares#1"
"grounds#Interior/exterior";"1";"1";"1";"ground";"N";"grounds#1"
"upgrades#Rooms";"1";"1";"1";"upgrade";"N";"upgrades#1"
"forks#Restaurant";"1";"1";"1";"fork";"V";"forks#1"
"buses#Transportation";"1";"1";"1";"bus";"N";"buses#1"
"thats#unknown";"1";"1";"1";"thats";"V";"thats#1"
"pillows#Beds";"1";"1";"1";"pillow";"N";"pillows#1"
"linens#Beds";"1";"1";"1";"linen";"N";"linens#1"
"toiletries#Bathroom";"1";"1";"1";"toiletry";"N";"toiletries#1"
".taxis#Transportation";"1";"1";"1";".Taxis";"R";".taxis#1"
"housekeeping#Cleanliness";"1";"1";"1";"housekeeping";"V";"housekeeping#1"
"wine#Restaurant";"1";"1";"1";"wine";"N";"wine#1"
"cabinet#Rooms";"1";"1";"1";"cabinet";"N";"cabinet#1"
"dishwasher#Facilities";"1";"1";"1";"dishwasher";"N";"dishwasher#1"
"aerobic.they#Staff";"1";"1";"1";"aerobic.They";"R";"aerobic.they#1"
"there.#unknown";"1";"1";"1";"there.";"A";"there.#1"
"fingerprints#unknown";"1";"1";"1";"fingerprint";"N";"fingerprints#1"
"pipes#Bathroom";"1";"1";"1";"pipe";"N";"pipes#1"
"unpleasantness#unknown";"1";"1";"1";"unpleasantness";"N";"unpleasantness#1"
"opportunitys#Facilities";"1";"1";"1";"opportunitys";"N";"opportunitys#1"
"employes#Staff";"1";"1";"1";"employes";"N";"employes#1"
"bathrobes#Bathroom";"1";"1";"1";"bathrobes";"N";"bathrobes#1"
"performance#Staff";"1";"1";"1";"performance";"N";"performance#1"
"emails#unknown";"1";"1";"1";"email";"N";"emails#1"
"odor#Cleanliness";"1";"1";"1";"odor";"N";"odor#1"
"cocktails.#Facilities";"1";"1";"1";"cocktails.";"N";"cocktails.#1"
"wellness#Staff";"1";"1";"1";"wellness";"N";"wellness#1"
"facility#Facilities";"1";"1";"1";"facility";"N";"facility#1"
"acoustic#Noisiness";"1";"1";"1";"acoustic";"G";"acoustic#1"
"supervicion#Staff";"1";"1";"1";"supervicion";"N";"supervicion#1"
"sausages#Breakfast";"1";"1";"1";"sausage";"N";"sausages#1"
"interenet#Internet";"1";"1";"1";"interenet";"N";"interenet#1"
"carpets#Interior/exterior";"1";"1";"1";"carpet";"N";"carpets#1"
"mexican#Restaurant";"1";"1";"1";"mexican";"G";"mexican#1"
"programme#Facilities";"1";"1";"1";"programme";"N";"programme#1"
"style.#Interior/exterior";"1";"1";"1";"style.";"N";"style.#1"
"croissants#Breakfast";"1";"1";"1";"croissant";"N";"croissants#1"
"oriental#Restaurant";"1";"1";"1";"oriental";"G";"oriental#1"
"bathtub#Bathroom";"1";"1";"1";"bathtub";"N";"bathtub#1"
"hamam#Facilities";"1";"1";"1";"hamam";"N";"hamam#1"
"ceiling#Interior/exterior";"1";"1";"1";"ceiling";"N";"ceiling#1"
"whisky#Restaurant";"1";"1";"1";"whisky";"G";"whisky#1"
"tournaments#Facilities";"1";"1";"1";"tournament";"N";"tournaments#1"
"desk.#Facilities";"1";"1";"1";"desk.";"N";"desk.#1"
"bedding#Beds";"1";"1";"1";"bedding";"N";"bedding#1"
"commode#Rooms";"1";"1";"1";"commode";"N";"commode#1"
"moquette#Interior/exterior";"1";"1";"1";"moquette";"N";"moquette#1"
"mashrooms#Breakfast";"1";"1";"1";"mashrooms";"N";"mashrooms#1"
"clubs#Location";"1";"1";"1";"club";"N";"clubs#1"
"suroundings#Interior/exterior";"1";"1";"1";"suroundings";"N";"suroundings#1"
"sunbeds#Facilities";"1";"1";"1";"sunbed";"N";"sunbeds#1"
"checkin#Reservation/check-in/check-out";"1";"1";"1";"Checkin";"R";"checkin#1"
"minibus#Transportation";"1";"1";"1";"Minibus";"R";"minibus#1"
"rum#Restaurant";"1";"1";"1";"rum";"N";"rum#1"
"maxxiland#unknown";"1";"1";"1";"maxxiland";"N";"maxxiland#1"
"curtains#Interior/exterior";"1";"1";"1";"curtain";"N";"curtains#1"
"requests#unknown";"1";"1";"1";"request";"N";"requests#1"
"tele#Facilities";"1";"1";"1";"Tele";"R";"tele#1"
"knifes#Restaurant";"1";"1";"1";"knifes";"N";"knifes#1"
"hotel#unknown";"0";"100";"429";"hotel";"N";"hotel#430"
"it#unknown";"0";"88";"203";"it";"Q";"it#203"
"staff#Staff";"0";"50";"122";"staff";"N";"staff#122"
"location#Location";"0";"49";"85";"location";"N";"location#85"
"breakfast#Breakfast";"0";"35";"75";"breakfast";"N";"breakfast#75"
"food#Restaurant";"0";"28";"73";"food";"N";"food#73"
"room#Rooms";"0";"28";"185";"room";"N";"room#185"
"rooms#Rooms";"0";"27";"80";"room";"N";"rooms#80"
"service#Staff";"0";"19";"48";"service";"N";"service#48"
"bathroom#Bathroom";"0";"14";"33";"bathroom";"N";"bathroom#33"
"there#unknown";"0";"12";"147";"there";"A";"there#147"
"bed#Beds";"0";"11";"30";"bed";"N";"bed#30"
"place#Location";"0";"10";"46";"place";"N";"place#46"
"they#unknown";"0";"9";"51";"they";"Q";"they#51"
"this#unknown";"0";"8";"158";"this";"D";"this#158"
"here#unknown";"0";"7";"17";"here";"A";"here#17"
"place#unknown";"0";"7";"46";"place";"N";"place#46"
"everything#unknown";"0";"7";"23";"everything";"N";"everything#23"
"holiday#unknown";"0";"7";"28";"holiday";"N";"holiday#28"
"its#unknown";"0";"6";"18";"its";"Q";"its#18"
"bar#Facilities";"0";"6";"32";"bar";"N";"bar#32"
"restaurant#Restaurant";"0";"6";"47";"restaurant";"N";"restaurant#47"
"price#Value-for-money";"0";"6";"34";"price";"N";"price#34"
"tv#Facilities";"0";"6";"18";"TV";"N";"tv#18"
"elevator#Facilities";"0";"4";"7";"elevator";"N";"elevator#7"
"pool#Swimming pool";"0";"4";"25";"Pool";"R";"pool#25"
"walls#Interior/exterior";"0";"4";"6";"wall";"N";"walls#6"
"wifi#Internet";"0";"4";"8";"wifi";"R";"wifi#8"
"internet#Internet";"0";"4";"15";"internet";"N";"internet#15"
"facilities#Facilities";"0";"4";"11";"facility";"N";"facilities#11"
"parking#Car parking";"0";"4";"10";"Parking";"R";"parking#10"
"stay#unknown";"0";"4";"70";"stay";"N";"stay#70"
"management#Staff";"0";"4";"8";"management";"N";"management#8"
"personnel#Staff";"0";"4";"6";"personnel";"N";"personnel#6"
"services#Staff";"0";"3";"11";"service";"N";"services#11"
"restaurants#Restaurant";"0";"3";"30";"restaurant";"N";"restaurants#30"
"it#Breakfast";"0";"3";"203";"it";"Q";"it#203"
"music#Facilities";"0";"3";"8";"music";"N";"music#8"
"lobby#Interior/exterior";"0";"3";"12";"lobby";"A";"lobby#12"
"smell#Cleanliness";"0";"3";"6";"smell";"N";"smell#6"
"that#unknown";"0";"3";"102";"that";"D";"that#102"
"gym#Facilities";"0";"3";"8";"gym";"N";"gym#8"
"quality#unknown";"0";"3";"17";"quality";"N";"quality#17"
"location#unknown";"0";"3";"85";"location";"N";"location#85"
"choice#unknown";"0";"3";"21";"choice";"N";"choice#21"
"towels#Bathroom";"0";"3";"10";"towel";"N";"towels#10"
"shower#Bathroom";"0";"2";"15";"shower";"N";"shower#15"
"spa#Facilities";"0";"2";"13";"spa";"N";"spa#13"
"people#Staff";"0";"2";"26";"person";"N";"people#26"
"windows#Rooms";"0";"2";"3";"window";"N";"windows#3"
"drinks#Restaurant";"0";"2";"13";"drink";"N";"drinks#13"
"lounge#Interior/exterior";"0";"2";"5";"lounge";"R";"lounge#5"
"beds#Beds";"0";"2";"6";"bed";"N";"beds#6"
"quality#Breakfast";"0";"2";"17";"quality";"N";"quality#17"
"reception#Staff";"0";"2";"20";"reception";"N";"reception#20"
"iron#Facilities";"0";"2";"5";"iron";"N";"iron#5"
"vacation#unknown";"0";"2";"6";"vacation";"N";"vacation#6"
"furniture#Interior/exterior";"0";"2";"6";"furniture";"N";"furniture#6"
"employees#Staff";"0";"2";"3";"employee";"N";"employees#3"
"amenities#Facilities";"0";"2";"7";"amenity";"N";"amenities#7"
"shops#Location";"0";"2";"12";"shop";"N";"shops#12"
"team#Staff";"0";"2";"11";"team";"N";"team#11"
"accommodation#unknown";"0";"2";"5";"accommodation";"N";"accommodation#5"
"toilet#Bathroom";"0";"2";"9";"toilet";"N";"toilet#9"
"view#Rooms";"0";"2";"24";"view";"N";"view#24"
"hotels#unknown";"0";"2";"17";"hotel";"N";"hotels#17"
"beach#Location";"0";"2";"33";"beach";"N";"beach#33"
"all#unknown";"0";"2";"116";"all";"D";"all#116"
"dishes#Restaurant";"0";"2";"3";"dish";"N";"dishes#3"
"bath#Bathroom";"0";"2";"7";"Bath";"R";"bath#7"
"impression#unknown";"0";"2";"9";"impression";"N";"impression#9"
"pools#Swimming pool";"0";"2";"6";"pool";"N";"pools#6"
"he#Staff";"0";"2";"17";"he";"Q";"he#17"
"metro#Transportation";"0";"2";"11";"Metro";"R";"metro#11"
"linen#Beds";"0";"2";"4";"linen";"G";"linen#4"
"hospitality#unknown";"0";"2";"3";"hospitality";"N";"hospitality#3"
"hostel#unknown";"0";"2";"8";"hostel";"N";"hostel#8"
"cleanliness#Cleanliness";"0";"2";"3";"cleanliness";"N";"cleanliness#3"
"balcony#Rooms";"0";"2";"6";"balcony";"N";"balcony#6"
"restaurants#Location";"0";"2";"30";"restaurant";"N";"restaurants#30"
"looks#unknown";"0";"2";"13";"look";"N";"looks#13"
"setting#unknown";"0";"1";"2";"setting";"N";"setting#2"
"customer#unknown";"0";"1";"2";"customer";"N";"customer#2"
"louvre#Location";"0";"1";"3";"Louvre";"R";"louvre#3"
"window#Rooms";"0";"1";"5";"window";"N";"window#5"
"music#Noisiness";"0";"1";"8";"music";"N";"music#8"
"amenities#Bathroom";"0";"1";"7";"amenity";"N";"amenities#7"
"size#Rooms";"0";"1";"11";"size";"N";"size#11"
"juices#Breakfast";"0";"1";"2";"juice";"N";"juices#2"
"walls#unknown";"0";"1";"6";"wall";"N";"walls#6"
"meals#Restaurant";"0";"1";"4";"meal";"N";"meals#4"
"style#Interior/exterior";"0";"1";"7";"style";"N";"style#7"
"hotel#Location";"0";"1";"429";"hotel";"N";"hotel#430"
"position#Location";"0";"1";"2";"position";"N";"position#2"
"fruit#Restaurant";"0";"1";"2";"fruit";"N";"fruit#2"
"food#Breakfast";"0";"1";"73";"food";"N";"food#73"
"they#Staff";"0";"1";"51";"they";"Q";"they#51"
"extra#Value-for-money";"0";"1";"6";"extra";"G";"extra#6"
"receptionists#Staff";"0";"1";"4";"receptionist";"N";"receptionists#4"
"hospitality#Staff";"0";"1";"3";"hospitality";"N";"hospitality#3"
"stairs#Interior/exterior";"0";"1";"3";"stair";"N";"stairs#3"
"furniture#Rooms";"0";"1";"6";"furniture";"N";"furniture#6"
"everybody#Staff";"0";"1";"2";"everybody";"N";"everybody#2"
"bars#Location";"0";"1";"12";"bar";"N";"bars#12"
"restourant#Facilities";"0";"1";"2";"restourant";"N";"restourant#2"
"coffee#Facilities";"0";"1";"13";"coffee";"N";"coffee#13"
"manager#Staff";"0";"1";"10";"manager";"N";"manager#10"
"spot#unknown";"0";"1";"7";"spot";"N";"spot#7"
"spot#Location";"0";"1";"7";"spot";"N";"spot#7"
"restaurant#Location";"0";"1";"47";"restaurant";"N";"restaurant#47"
"people#unknown";"0";"1";"26";"person";"N";"people#26"
"attitude#unknown";"0";"1";"2";"attitude";"N";"attitude#2"
"bars#Facilities";"0";"1";"12";"bar";"N";"bars#12"
"cooks#Staff";"0";"1";"3";"cook";"N";"cooks#3"
"soap#Bathroom";"0";"1";"2";"soap";"N";"soap#2"
"situation#Location";"0";"1";"3";"situation";"N";"situation#3"
"areas#Interior/exterior";"0";"1";"11";"area";"N";"areas#11"
"keys#unknown";"0";"1";"3";"key";"N";"keys#3"
"carpet#Interior/exterior";"0";"1";"2";"carpet";"N";"carpet#2"
"palace#unknown";"0";"1";"8";"palace";"N";"palace#8"
"sheets#Rooms";"0";"1";"4";"sheet";"N";"sheets#4"
"state#unknown";"0";"1";"5";"state";"N";"state#5"
"shopping#Location";"0";"1";"17";"shopping";"N";"shopping#17"
"waiters#Staff";"0";"1";"5";"waiter";"N";"waiters#5"
"thomsons#Location";"0";"1";"2";"thomsons";"N";"thomsons#2"
"supermarket#Facilities";"0";"1";"4";"supermarket";"N";"supermarket#4"
"coffee#Breakfast";"0";"1";"13";"coffee";"N";"coffee#13"
"reviews#unknown";"0";"1";"2";"review";"N";"reviews#2"
"property#unknown";"0";"1";"3";"property";"N";"property#3"
"mattress#Beds";"0";"1";"2";"mattress";"N";"mattress#2"
"bus#Transportation";"0";"1";"17";"bus";"N";"bus#17"
"cinema#Facilities";"0";"1";"2";"cinema";"N";"cinema#2"
"slippers#Bathroom";"0";"1";"2";"slipper";"N";"slippers#2"
"italian#Restaurant";"0";"1";"4";"italian";"G";"italian#4"
"continental#Breakfast";"0";"1";"2";"continental";"G";"continental#2"
"animation#Facilities";"0";"1";"8";"animation";"N";"animation#8"
"noise#Noisiness";"0";"1";"18";"noise";"A";"noise#18"
"cuisine#Restaurant";"0";"1";"2";"cuisine";"N";"cuisine#2"
"gardens#Interior/exterior";"0";"1";"5";"garden";"N";"gardens#5"
"apartment#unknown";"0";"1";"3";"apartment";"N";"apartment#3"
"transport#Transportation";"0";"1";"6";"transport";"N";"transport#6"
"closed#Rooms";"0";"1";"4";"close";"V";"closed#4"
"rooms#unknown";"0";"1";"80";"room";"N";"rooms#80"
"fitness#Facilities";"0";"1";"2";"fitness";"N";"fitness#2"
"stains#Cleanliness";"0";"1";"3";"stain";"N";"stains#3"
"choice#Restaurant";"0";"1";"21";"choice";"N";"choice#21"
"monmarte#Location";"0";"1";"2";"Monmarte";"R";"monmarte#2"
"towels#Facilities";"0";"1";"10";"towel";"N";"towels#10"
"tables#Interior/exterior";"0";"1";"4";"table";"N";"tables#4"
"phone#Facilities";"0";"1";"2";"phone";"N";"phone#2"
"sheraton#Location";"0";"1";"2";"Sheraton";"R";"sheraton#2"
"breakfasts#Breakfast";"0";"1";"3";"breakfast";"N";"breakfasts#3"
"area#Location";"0";"1";"40";"area";"N";"area#40"
"caffees#Location";"0";"1";"2";"caffees";"N";"caffees#2"
"rimini#unknown";"0";"1";"3";"Rimini";"R";"rimini#3"
"sheets#Beds";"0";"1";"4";"sheet";"N";"sheets#4"
"slippers#Facilities";"0";"1";"2";"slipper";"N";"slippers#2"
"travelodges#unknown";"0";"1";"2";"Travelodges";"R";"travelodges#2"
"refund#unknown";"0";"1";"2";"refund";"N";"refund#2"
"information#unknown";"0";"1";"3";"information";"N";"information#3"
"everyone#Staff";"0";"1";"4";"everyone";"N";"everyone#4"
"floor#Interior/exterior";"0";"1";"24";"floor";"N";"floor#24"
"bread#Breakfast";"0";"1";"4";"bread";"G";"bread#4"
"madrid#Location";"0";"1";"8";"Madrid";"R";"madrid#8"
"beaches#Location";"0";"1";"2";"beach";"V";"beaches#2"
"·#Internet";"0";"1";"144";"·";"V";"·#147"
"mamlouk#Location";"0";"1";"4";"Mamlouk";"R";"mamlouk#4"
"eggs#Breakfast";"0";"1";"2";"egg";"N";"eggs#2"
"selection#Breakfast";"0";"1";"4";"selection";"N";"selection#4"
"drink#Restaurant";"0";"1";"6";"drink";"V";"drink#6"
"room#unknown";"0";"1";"185";"room";"N";"room#185"
"flat#Facilities";"0";"1";"5";"flat";"G";"flat#5"
"experience#unknown";"0";"1";"12";"experience";"N";"experience#12"
"pizza#Restaurant";"0";"1";"2";"pizza";"N";"pizza#2"
"service#unknown";"0";"1";"48";"service";"N";"service#48"
"atmosphere#unknown";"0";"1";"6";"atmosphere";"N";"atmosphere#6"
"view#unknown";"0";"1";"24";"view";"N";"view#24"
"surroundings#Interior/exterior";"0";"1";"3";"surroundings";"N";"surroundings#3"
"building#Interior/exterior";"0";"1";"7";"building";"N";"building#7"
"views#Interior/exterior";"0";"1";"5";"view";"N";"views#5"
"water#unknown";"0";"1";"10";"Water";"R";"water#10"
"bathrooms#Bathroom";"0";"1";"3";"bathroom";"N";"bathrooms#3"
"food#unknown";"0";"1";"73";"food";"N";"food#73"
"meal#Restaurant";"0";"1";"2";"meal";"N";"meal#2"
"architecture#Interior/exterior";"0";"1";"2";"architecture";"N";"architecture#2"
"tea#Facilities";"0";"1";"7";"tea";"N";"tea#7"
"glasses#Restaurant";"0";"1";"2";"glass";"N";"glasses#2"
"kitchen#Restaurant";"0";"1";"3";"kitchen";"N";"kitchen#3"
"speed#Internet";"0";"1";"4";"speed";"N";"speed#4"
"setting#Location";"0";"1";"2";"setting";"N";"setting#2"
"accomodation#unknown";"0";"1";"2";"accomodation";"N";"accomodation#2"
"washbasin#Bathroom";"0";"1";"2";"washbasin";"N";"washbasin#2"
"the atmosphere#unknown";"1";"4";"4";"the atmosphere";"D N";"the#1330 atmosphere#6"
"the receptionists#Staff";"1";"3";"3";"the receptionist";"D N";"the#1330 receptionists#4"
"the stuff#Staff";"1";"3";"3";"the stuff";"D N";"the#1330 stuff#4"
"swimming pools#Swimming pool";"1";"2";"2";"swimming pool";"N N";"swimming#7 pools#6"
"the spa#Facilities";"1";"2";"2";"the spa";"D N";"the#1330 spa#13"
"the dinner#Restaurant";"1";"2";"2";"the dinner";"D N";"the#1330 dinner#10"
"the sheets#Beds";"1";"2";"2";"the sheet";"D N";"the#1330 sheets#4"
"the halls#Interior/exterior";"1";"2";"2";"the hall";"D N";"the#1330 halls#2"
"holiday stay#unknown";"1";"2";"2";"holiday stay";"N N";"holiday#28 stay#70"
"the amenities#Facilities";"1";"2";"2";"the amenity";"D N";"the#1330 amenities#7"
"groundfloor room#Rooms";"1";"2";"2";"groundfloor room";"N N";"groundfloor#2 room#185"
"his team#Staff";"1";"2";"2";"his team";"Q N";"his#6 team#11"
"bed linen#Beds";"1";"2";"2";"bed linen";"N N";"bed#30 linen#4"
"holiday place#Location";"1";"1";"1";"holiday place";"N N";"holiday#28 place#46"
"hotel location#Location";"1";"1";"1";"hotel location";"N N";"hotel#430 location#85"
"resort hotel#unknown";"1";"1";"1";"resort hotel";"N N";"resort#8 hotel#430"
"the design#Interior/exterior";"1";"1";"1";"the design";"D N";"the#1330 design#5"
"executive lounge#Facilities";"1";"1";"1";"Executive Lounge";"R R";"executive#6 lounge#5"
"cathode tv#Facilities";"1";"1";"1";"cathode Tv";"N R";"cathode#1 tv#18"
"electric kettle#Facilities";"1";"1";"1";"electric kettle";"G N";"electric#1 kettle#2"
"a bill#unknown";"1";"1";"1";"a bill";"D N";"a#534 bill#1"
"dam square#Location";"1";"1";"1";"Dam Square";"R R";"dam#1 square#5"
"cold drinks#Facilities";"1";"1";"1";"Cold drink";"R N";"cold#5 drinks#13"
"pool view#Rooms";"1";"1";"1";"pool view";"N N";"pool#25 view#24"
"the turkish#Restaurant";"1";"1";"1";"the turkish";"D G";"the#1330 turkish#2"
"dinner portions#Restaurant";"1";"1";"1";"dinner portion";"N N";"dinner#10 portions#1"
"restaurants around#Location";"1";"1";"1";"restaurant around";"N A";"restaurants#30 around#26"
"zone 1#Location";"1";"1";"1";"zone 1";"N O";"zone#1 1#9"
"the sink#Bathroom";"1";"1";"1";"the sink";"D N";"the#1330 sink#1"
"public restrooms#Bathroom";"1";"1";"1";"public restrooms";"N V";"public#9 restrooms#1"
"the cottages#unknown";"1";"1";"1";"the cottage";"D N";"the#1330 cottages#1"
"the villa#unknown";"1";"1";"1";"the villa";"D N";"the#1330 villa#4"
"some cleaning#Cleanliness";"1";"1";"1";"some cleaning";"D N";"some#42 cleaning#5"
"parking spaces#Car parking";"1";"1";"1";"park space";"V N";"parking#10 spaces#1"
